5/25/2022 9:27:38 PM
Time,Path,Invisibility,x_pos,y_pos,z_pos,target_x,target_y,target_z,target_visible
0.01144409,0,1,-2.937158,1.35352,-0.5037674,-4.039,0,3.6,True
0.1308594,0,1,-2.94032,1.355157,-0.4992195,-3.95256,0,3.591356,True
0.2313461,0,1,-2.947511,1.357171,-0.4957093,-3.872138,0,3.583314,True
0.3330002,0,1,-2.952073,1.354341,-0.4936253,-3.790957,0,3.575196,True
0.4335022,0,1,-2.948226,1.355132,-0.4887465,-3.70555,0,3.566655,True
0.5451431,0,1,-2.927042,1.355536,-0.4827112,-3.615192,0,3.557619,True
0.6644745,0,1,-2.859971,1.360639,-0.4752895,-3.526031,0,3.548703,True
0.7771225,0,1,-2.772418,1.383672,-0.4550239,-3.438747,0,3.539975,True
0.8980026,0,1,-2.698354,1.407205,-0.420112,-3.341739,0,3.530274,True
1.019974,0,1,-2.633122,1.410064,-0.3767837,-3.244744,0,3.520574,True
1.120819,0,1,-2.542821,1.397715,-0.317232,-3.162713,0,3.512371,True
1.221146,0,1,-2.418465,1.387568,-0.2385188,-3.084222,0,3.504522,True
1.330002,0,1,-2.267124,1.392441,-0.1442257,-2.996185,0,3.495718,True
1.445297,0,1,-2.147345,1.393051,-0.0490234,-2.90754,0,3.486854,True
1.553474,0,1,-2.064246,1.395361,0.05539261,-2.820717,0,3.478172,True
1.65625,0,1,-2.001169,1.401181,0.1527603,-2.732097,0,3.46931,True
1.777077,0,1,-1.923571,1.413893,0.2798635,-2.64415,0,3.460515,True
1.887451,0,1,-1.844693,1.423227,0.4033691,-2.554819,0,3.451582,True
1.988098,0,1,-1.760208,1.420921,0.5167874,-2.467225,0,3.442822,True
2.10067,0,1,-1.645907,1.409437,0.6349851,-2.376995,0,3.4338,True
2.211258,0,1,-1.513847,1.416387,0.7656436,-2.28965,0,3.425065,True
2.322495,0,1,-1.387385,1.411577,0.8981727,-2.200404,0,3.41614,True
2.443413,0,1,-1.290464,1.414231,1.033708,-2.112767,0,3.407377,True
2.553894,0,1,-1.222816,1.42077,1.168608,-2.023777,0,3.398478,True
2.665131,0,1,-1.176496,1.431205,1.316189,-1.934318,0,3.389532,True
2.777405,0,1,-1.137085,1.420368,1.462341,-1.838416,0,3.379941,True
2.899406,0,1,-1.082488,1.415482,1.60921,-1.748629,0,3.370963,True
3.008568,0,1,-1.025268,1.425793,1.724263,-1.662152,0,3.362315,True
