5/4/2022 9:20:29 AM
Time,Path,Invisibility,x_pos,y_pos,z_pos,target_x,target_y,target_z,target_visible
0.02260971,0,1,-2.978108,1.491396,-2.77981,-3,0,3,True
0.02285004,0,1,-2.972461,1.489574,-2.772982,-3,0,3,True
0.01257801,0,1,-2.968356,1.48853,-2.765559,-3,0,3,True
0.01823235,0,1,-2.963296,1.490378,-2.752704,-3,0,3,True
0.02292442,0,1,-2.956409,1.495332,-2.732073,-3,0,3,True
0.02520657,0,1,-2.952974,1.503274,-2.703734,-3,0,3,True
0.01389503,0,1,-2.952291,1.504524,-2.663439,-3,0,3,True
0.01097965,0,1,-2.954111,1.504677,-2.61306,-3,0,3,True
0.01796913,0,1,-2.958407,1.507968,-2.560301,-3,0,3,True
0.01125908,0,1,-2.964746,1.518711,-2.496506,-3,0,3,True
0.01159954,0,1,-2.964752,1.52867,-2.44098,-3,0,3,True
0.01633072,0,1,-2.956904,1.534943,-2.383802,-3,0,3,True
0.0117836,0,1,-2.944416,1.538487,-2.328258,-3,0,3,True
0.02252483,0,1,-2.925132,1.530489,-2.254643,-3,0,3,True
0.02189827,0,1,-2.906841,1.530713,-2.186739,-3,0,3,True
0.0426693,0,1,-2.894891,1.547303,-2.127207,-2.988776,0,2.998878,True
0.1467781,0,1,-2.891308,1.556773,-2.064754,-2.892271,0,2.989227,True
0.2657328,0,1,-2.895109,1.558603,-1.998145,-2.804291,0,2.980429,True
0.3662786,0,1,-2.902779,1.553972,-1.945132,-2.725334,0,2.972533,True
0.4778509,0,1,-2.91179,1.54909,-1.888254,-2.635128,0,2.963513,True
0.59023,0,1,-2.903143,1.553262,-1.828248,-2.540365,0,2.954036,True
0.6994476,0,1,-2.880387,1.557845,-1.771501,-2.461354,0,2.946136,True
0.7998495,0,1,-2.850342,1.554155,-1.718259,-2.380048,0,2.938005,True
0.9115181,0,1,-2.807217,1.542318,-1.653499,-2.283946,0,2.928395,True
1.031283,0,1,-2.739879,1.536567,-1.574097,-2.194969,0,2.919497,True
1.140795,0,1,-2.672961,1.548251,-1.50454,-2.108062,0,2.910806,True
1.245537,0,1,-2.599288,1.562216,-1.426986,-2.017952,0,2.901795,True
1.347164,0,1,-2.539372,1.567098,-1.3519,-1.940464,0,2.894046,True
1.465727,0,1,-2.433899,1.574619,-1.243278,-1.851424,0,2.885142,True
1.576683,0,1,-2.375937,1.562304,-1.154757,-1.763285,0,2.876328,True
1.679705,0,1,-2.308633,1.56526,-1.0492,-1.67241,0,2.867241,True
1.798025,0,1,-2.229888,1.591486,-0.9355904,-1.586247,0,2.858625,True
1.910524,0,1,-2.155288,1.599744,-0.8366867,-1.496297,0,2.84963,True
2.022961,0,1,-2.080015,1.589176,-0.7358145,-1.409346,0,2.840935,True
2.132957,0,1,-2.001273,1.569921,-0.631219,-1.318578,0,2.831858,True
2.245098,0,1,-1.914824,1.565322,-0.5241951,-1.222526,0,2.822253,True
2.354507,0,1,-1.826358,1.584886,-0.4149503,-1.142995,0,2.814299,True
2.457993,0,1,-1.750598,1.597906,-0.3136355,-1.053808,0,2.805381,True
2.576271,0,1,-1.665636,1.592614,-0.1863879,-0.9671671,0,2.796717,True
2.676497,0,1,-1.596717,1.56802,-0.07731535,-0.8859802,0,2.788598,True
2.776609,0,1,-1.526582,1.56007,0.0377668,-0.8056937,0,2.780569,True
2.888472,0,1,-1.446278,1.58122,0.1606408,-0.7169502,0,2.771695,True
2.999317,0,1,-1.357313,1.59724,0.2742776,-0.6308319,0,2.763083,True
3.100199,0,1,-1.274666,1.583737,0.371668,-0.5511603,0,2.755116,True
3.220123,0,1,-1.163994,1.555542,0.4941055,-0.4538642,0,2.745386,True
3.322077,0,1,-1.0604,1.551751,0.6014291,-0.3649795,0,2.736498,True
3.431593,0,1,-0.9511833,1.565683,0.7121713,-0.2861825,0,2.728618,True
3.531885,0,1,-0.8603134,1.587059,0.8051358,-0.2067963,0,2.72068,True
3.642986,0,1,-0.7612205,1.589951,0.9043255,-0.1164799,0,2.711648,True
3.765497,0,1,-0.6515164,1.558607,1.019251,-0.02184385,0,2.702184,True
3.886374,0,1,-0.5416045,1.540347,1.138287,0.06953541,0,2.693047,True
3.989601,0,1,-0.4455147,1.557784,1.22577,0.1656822,0,2.683432,True
4.108732,0,1,-0.3303151,1.576309,1.314644,0.2550679,0,2.674493,True
4.211874,0,1,-0.2361851,1.5598,1.387291,0.3411892,0,2.665881,True
4.33149,0,1,-0.1101851,1.527834,1.481389,0.4295213,0,2.657048,True
4.452608,0,1,0.02920151,1.525585,1.575945,0.527326,0,2.647267,True
4.553833,0,1,0.1454029,1.54522,1.654485,0.6087588,0,2.639124,True
4.675119,0,1,0.2742405,1.557224,1.750805,0.7033371,0,2.629666,True
4.79789,0,1,0.3931041,1.534841,1.846894,0.8010493,0,2.619895,True
4.908468,0,1,0.4995053,1.50234,1.937461,0.8907599,0,2.610924,True
5.01932,0,1,0.5948792,1.493058,2.022378,0.9795262,0,2.602047,True
5.130165,0,1,0.7050211,1.503737,2.11114,1.066967,0,2.593303,True
5.242657,0,1,0.7947011,1.504523,2.178916,1.156925,0,2.584307,True
5.363096,0,1,0.8921876,1.476908,2.248469,1.251824,0,2.574818,True
5.476601,0,1,0.9864428,1.464451,2.308209,1.341685,0,2.565831,True
5.587446,0,1,1.083755,1.477107,2.36223,1.436904,0,2.55631,True
0.01974869,0,2,-3.050875,1.603492,-2.879904,-3,0,3,True
0.01566696,0,2,-3.053232,1.601261,-2.870821,-3,0,3,True
0.02056503,0,2,-3.058201,1.599418,-2.856448,-3,0,3,True
0.01940155,0,2,-3.063846,1.594259,-2.833322,-3,0,3,True
0.02274323,0,2,-3.066545,1.585005,-2.802063,-3,0,3,True
0.01467896,0,2,-3.062311,1.579136,-2.754529,-3,0,3,True
0.01864624,0,2,-3.049812,1.57133,-2.688156,-3,0,3,True
0.01171875,0,2,-3.034043,1.566115,-2.624061,-3,0,3,True
0.01923752,0,2,-3.015364,1.570567,-2.552799,-3,0,3,True
0.0139389,0,2,-2.994604,1.583503,-2.469041,-3,0,3,True
0.02100754,0,2,-2.980955,1.587196,-2.375052,-3,0,3,True
0.01276016,0,2,-2.975281,1.595494,-2.300789,-3,0,3,True
0.01468277,0,2,-2.977053,1.593586,-2.228215,-3,0,3,True
0.05924606,0,2,-2.983274,1.589608,-2.164308,-2.962489,0,2.996249,True
0.1592789,0,2,-2.986063,1.597684,-2.091231,-2.883279,0,2.988328,True
0.2694016,0,2,-2.978675,1.604113,-2.006301,-2.800704,0,2.98007,True
0.3820724,0,2,-2.961967,1.593024,-1.919828,-2.706654,0,2.970665,True
0.5006485,0,2,-2.92952,1.576229,-1.818849,-2.61909,0,2.961909,True
0.6112671,0,2,-2.884999,1.581904,-1.721804,-2.537928,0,2.953793,True
0.7247505,0,2,-2.833544,1.589566,-1.62588,-2.440264,0,2.944026,True
0.833847,0,2,-2.785826,1.588264,-1.533202,-2.352485,0,2.935248,True
0.9669952,0,2,-2.7256,1.588518,-1.420902,-2.256938,0,2.925694,True
1.069965,0,2,-2.675024,1.572095,-1.328662,-2.158792,0,2.915879,True
1.180279,0,2,-2.609789,1.5631,-1.215799,-2.068984,0,2.906898,True
1.299976,0,2,-2.534775,1.592429,-1.094071,-1.982003,0,2.8982,True
1.402702,0,2,-2.466367,1.60681,-0.999904,-1.892277,0,2.889228,True
1.525375,0,2,-2.376199,1.598391,-0.8868631,-1.805843,0,2.880584,True
1.646027,0,2,-2.273777,1.571162,-0.7697152,-1.706254,0,2.870625,True
1.759052,0,2,-2.166821,1.563396,-0.6580826,-1.610194,0,2.861019,True
1.868416,0,2,-2.061836,1.585836,-0.5485381,-1.529769,0,2.852977,True
1.980526,0,2,-1.965779,1.602295,-0.4328009,-1.434134,0,2.843413,True
2.099129,0,2,-1.876445,1.591551,-0.3145841,-1.346777,0,2.834678,True
2.202141,0,2,-1.784434,1.564079,-0.1891092,-1.257182,0,2.825718,True
2.313576,0,2,-1.690471,1.561937,-0.05620159,-1.169044,0,2.816904,True
2.414459,0,2,-1.604085,1.583359,0.05732916,-1.087408,0,2.808741,True
2.522228,0,2,-1.505908,1.599528,0.1730176,-1.007232,0,2.800723,True
