5/13/2022 2:23:14 PM
Time,Path,Invisibility,x_pos,y_pos,z_pos,target_x,target_y,target_z,target_visible
0.02312088,0,1,-3.058499,1.569705,-2.984474,-3,0,3,True
0.02341461,0,1,-3.056408,1.568738,-2.984158,-3,0,3,True
0.02187729,0,1,-3.055566,1.56533,-2.983059,-3,0,3,True
0.02287292,0,1,-3.054404,1.558916,-2.979402,-3,0,3,True
0.01790619,0,1,-3.051013,1.555829,-2.967559,-3,0,3,True
0.01398849,0,1,-3.044912,1.552016,-2.946791,-3,0,3,True
0.01596069,0,1,-3.035174,1.545108,-2.916078,-3,0,3,True
0.01164246,0,1,-3.022141,1.539753,-2.875014,-3,0,3,True
0.01089478,0,1,-3.005512,1.534799,-2.82369,-3,0,3,True
0.0111618,0,1,-2.984302,1.536873,-2.761628,-3,0,3,True
0.01662445,0,1,-2.963331,1.545664,-2.705246,-3,0,3,True
0.02236176,0,1,-2.94592,1.549409,-2.654775,-3,0,3,True
0.02220154,0,1,-2.936701,1.547706,-2.61119,-3,0,3,True
0.01810455,0,1,-2.933638,1.554296,-2.564383,-3,0,3,True
0.02373505,0,1,-2.934667,1.557332,-2.517282,-3,0,3,True
0.02349091,0,1,-2.941723,1.557984,-2.467187,-3,0,3,True
0.02038574,0,1,-2.954042,1.556474,-2.423787,-3,0,3,True
0.02321625,0,1,-2.97511,1.565033,-2.36715,-3,0,3,True
0.02318573,0,1,-2.989332,1.566788,-2.323416,-3,0,3,True
0.0209198,0,1,-2.992994,1.561103,-2.276484,-3,0,3,True
0.02371216,0,1,-2.992143,1.557465,-2.241091,-3,0,3,True
0.01698303,0,1,-2.988565,1.535392,-2.210371,-3,0,3,True
0.01850128,0,1,-2.978022,1.510261,-2.173805,-3,0,3,True
0.04109955,0,1,-2.955287,1.499981,-2.123685,-2.980062,0,2.998006,True
0.1491318,0,1,-2.925287,1.517218,-2.063054,-2.903065,0,2.990307,True
0.2527084,0,1,-2.899317,1.541963,-2.009252,-2.81286,0,2.981286,True
0.3553848,0,1,-2.883567,1.549771,-1.967614,-2.731454,0,2.973145,True
0.472702,0,1,-2.879697,1.555176,-1.919843,-2.63871,0,2.963871,True
0.5776749,0,1,-2.885187,1.557966,-1.866042,-2.557037,0,2.955704,True
0.6794662,0,1,-2.893607,1.555737,-1.813634,-2.467633,0,2.946763,True
0.7901917,0,1,-2.911113,1.552424,-1.751398,-2.380543,0,2.938054,True
0.8902283,0,1,-2.935459,1.547026,-1.688486,-2.300419,0,2.930042,True
0.9979858,0,1,-2.966513,1.545236,-1.614516,-2.220732,0,2.922073,True
1.10054,0,1,-2.989939,1.538109,-1.532924,-2.133746,0,2.913375,True
1.201942,0,1,-2.981342,1.543604,-1.457016,-2.051781,0,2.905178,True
1.309425,0,1,-2.942647,1.547411,-1.378061,-1.972398,0,2.89724,True
1.434341,0,1,-2.862267,1.538386,-1.280998,-1.878543,0,2.887854,True
1.535255,0,1,-2.762352,1.542454,-1.184677,-1.787626,0,2.878763,True
1.655388,0,1,-2.658463,1.551913,-1.090315,-1.69971,0,2.869971,True
1.764908,0,1,-2.582418,1.561866,-1.013719,-1.612669,0,2.861267,True
1.865196,0,1,-2.49591,1.566084,-0.9242009,-1.529836,0,2.852984,True
1.986549,0,1,-2.407043,1.542264,-0.8269743,-1.436054,0,2.843605,True
2.087845,0,1,-2.317757,1.509211,-0.7169605,-1.357563,0,2.835756,True
2.190895,0,1,-2.231184,1.519177,-0.6150769,-1.26508,0,2.826508,True
2.300972,0,1,-2.121201,1.535599,-0.5350329,-1.178427,0,2.817843,True
2.419952,0,1,-2.001211,1.54313,-0.45072,-1.089588,0,2.808959,True
2.522667,0,1,-1.898598,1.528681,-0.3745216,-1.003075,0,2.800308,True
2.631645,0,1,-1.771543,1.498208,-0.288951,-0.9212201,0,2.792122,True
2.744308,0,1,-1.637892,1.504767,-0.2022444,-0.8317311,0,2.783173,True
2.864815,0,1,-1.527643,1.527269,-0.1113185,-0.737578,0,2.773758,True
2.967445,0,1,-1.43141,1.533198,-0.01350512,-0.6472448,0,2.764724,True
3.067451,0,1,-1.345481,1.518278,0.08114825,-0.5676916,0,2.756769,True
3.172585,0,1,-1.257812,1.492767,0.1880025,-0.4872153,0,2.748722,True
3.274063,0,1,-1.169377,1.476878,0.3092546,-0.4083059,0,2.740831,True
3.375732,0,1,-1.075117,1.484606,0.4167799,-0.3285645,0,2.732857,True
3.489319,0,1,-0.9771972,1.502386,0.4985245,-0.2400776,0,2.724008,True
3.590187,0,1,-0.8879132,1.503791,0.569145,-0.1520766,0,2.715208,True
3.699486,0,1,-0.7770543,1.479526,0.6468931,-0.06406946,0,2.706407,True
3.810341,0,1,-0.6468496,1.464017,0.7266908,0.01640684,0,2.698359,True
3.910889,0,1,-0.5222511,1.477417,0.7965459,0.09576567,0,2.690423,True
4.020912,0,1,-0.4106903,1.485778,0.8719507,0.1846048,0,2.68154,True
4.132339,0,1,-0.318912,1.494795,0.949482,0.2704316,0,2.672957,True
4.243782,0,1,-0.2268538,1.491374,1.033274,0.3590885,0,2.664091,True
4.366455,0,1,-0.1238213,1.462498,1.135591,0.456831,0,2.654317,True
4.477402,0,1,-0.02668381,1.453626,1.240537,0.5466419,0,2.645336,True
4.585922,0,1,0.05937767,1.463065,1.320387,0.6354385,0,2.636456,True
4.687813,0,1,0.1629109,1.47213,1.39178,0.7151982,0,2.62848,True
4.799294,0,1,0.2708771,1.463508,1.452176,0.8011525,0,2.619885,True
4.921158,0,1,0.4003611,1.435775,1.506557,0.8994902,0,2.610051,True
5.064598,0,1,0.5772445,1.425562,1.564093,0.994937,0,2.600506,True
5.168289,0,1,0.6993098,1.439907,1.605542,1.104395,0,2.589561,True
5.270241,0,1,0.8002069,1.448026,1.653708,1.176678,0,2.582332,True
5.387321,0,1,0.935673,1.441875,1.72607,1.270613,0,2.572939,True
5.498848,0,1,1.060793,1.421515,1.791721,1.358784,0,2.564122,True
