Time, Path, Visible, Target
0.0221653,0,1,SouthBlock
0.0212326,0,1,Rabbit
0.02101326,0,1,Rabbit
0.01398659,0,1,Rabbit
0.01210403,0,1,Rabbit
0.01210403,0,1,NorthBlock
0.01728439,0,1,NorthBlock
0.01728439,0,1,SouthBlock
0.02317047,0,1,SouthBlock
0.02114868,0,1,Rabbit
0.01510239,0,1,NorthBlock
0.01910591,0,1,Rabbit
0.02113533,0,1,Rabbit
0.01959038,0,1,NorthBlock
0.02301216,0,1,NorthBlock
0.0207119,0,1,NorthBlock
0.01157379,0,1,NorthBlock
0.01157379,0,1,Rabbit
0.01072693,0,1,Rabbit
0.02108192,0,1,Rabbit
0.01914406,0,1,NorthBlock
0.01734161,0,1,NorthBlock
0.02180862,0,1,NorthBlock
0.02284622,0,1,Rabbit
0.03208733,0,1,Rabbit
0.02452469,0,1,Rabbit
0.02452469,0,1,NorthBlock
0.01665306,0,1,NorthBlock
0.01342964,0,1,NorthBlock
0.01107407,0,1,NorthBlock
0.02225876,0,1,NorthBlock
0.01440811,0,1,Rabbit
0.0225296,0,1,Rabbit
0.01940727,0,1,Rabbit
0.01066971,0,1,Rabbit
0.02269936,0,1,Rabbit
0.01192474,0,1,Rabbit
0.01104736,0,1,Rabbit
0.01169014,0,1,NorthBlock
0.01854897,0,1,NorthBlock
0.01437759,0,1,Rabbit
0.01929665,0,1,Rabbit
0.01929665,0,1,NorthBlock
0.02146912,0,1,NorthBlock
0.02388573,0,1,NorthBlock
0.02280617,0,1,NorthBlock
0.02280617,0,1,Rabbit
0.02466583,0,1,Rabbit
0.021492,0,1,NorthBlock
0.02537918,0,1,NorthBlock
0.02074051,0,1,NorthBlock
0.0190773,0,1,Rabbit
0.03281403,0,1,Rabbit
0.02046204,0,1,NorthBlock
0.01989746,0,1,Rabbit
0.01081085,0,1,Rabbit
0.01054382,0,1,Rabbit
0.01054382,0,1,NorthBlock
0.0241394,0,1,NorthBlock
0.02231216,0,1,Rabbit
0.02090836,0,1,Rabbit
0.02090836,0,1,NorthBlock
0.02273941,0,1,NorthBlock
0.02009201,0,1,NorthBlock
0.02009201,0,1,Rabbit
0.01461411,0,1,Rabbit
0.02083206,0,1,Rabbit
0.02227783,0,1,NorthBlock
0.01643372,0,1,NorthBlock
0.01643372,0,1,Rabbit
0.02232742,0,1,Rabbit
0.0208168,0,1,NorthBlock
0.01496887,0,1,NorthBlock
0.01496887,0,1,Rabbit
0.02204132,0,1,Rabbit
0.01195145,0,1,NorthBlock
0.01900482,0,1,Rabbit
0.02438354,0,1,Rabbit
0.02376556,0,1,Rabbit
0.01948166,0,1,Rabbit
0.02243423,0,1,Rabbit
0.02408218,0,1,Rabbit
0.0160408,0,1,NorthBlock
0.02070236,0,1,NorthBlock
0.02418137,0,1,Rabbit
0.01369476,0,1,Rabbit
0.01355362,0,1,NorthBlock
0.02270126,0,1,NorthBlock
0.02312469,0,1,NorthBlock
0.02254105,0,1,NorthBlock
0.02254105,0,1,Rabbit
0.02400208,0,1,Rabbit
0.02400208,0,1,NorthBlock
0.01917267,0,1,NorthBlock
0.02227402,0,1,NorthBlock
0.01487732,0,1,NorthBlock
0.01172256,0,1,NorthBlock
0.01187897,0,1,NorthBlock
0.01939011,0,1,NorthBlock
0.01086807,0,1,NorthBlock
0.02322006,0,1,NorthBlock
0.02043533,0,1,NorthBlock
0.01047134,0,1,NorthBlock
0.01409531,0,1,NorthBlock
0.0148201,0,1,NorthBlock
0.01092148,0,1,Rabbit
0.0218544,0,1,Rabbit
0.02030563,0,1,NorthBlock
0.02286911,0,1,Rabbit
0.02279663,0,1,Rabbit
0.009502411,0,1,Rabbit
0.01774979,0,1,NorthBlock
0.02178955,0,1,NorthBlock
0.01849747,0,1,Rabbit
0.01913834,0,1,Rabbit
0.02325439,0,1,NorthBlock
0.02212906,0,1,NorthBlock
0.01263809,0,1,Rabbit
0.02328873,0,1,Rabbit
0.01554871,0,1,Rabbit
0.0233078,0,1,Rabbit
0.01366425,0,1,Rabbit
0.02311707,0,1,Rabbit
0.4055634,0,1,Rabbit
0.5564651,0,1,Rabbit
0.9546204,0,1,Rabbit
1.074684,0,1,NorthBlock
