Time, Path, Visible, Target
0.1427307,0,1,Rabbit
0.5311737,0,1,Rabbit
0.8812408,0,1,Rabbit
1.106689,0,1,Rabbit
1.253387,0,1,Rabbit
1.931824,0,1,Rabbit
2.243607,0,1,Rabbit
3.425461,0,1,Rabbit
3.672485,0,1,NorthBlock
3.754242,0,1,Rabbit
4.883026,0,1,Rabbit
5.097656,0,1,Rabbit
5.203323,0,1,NorthBlock
5.641464,0,1,NorthBlock
5.641464,0,1,Rabbit
5.913849,0,1,Rabbit
5.913849,0,1,NorthBlock
6.095322,0,1,NorthBlock
6.095322,0,1,Rabbit
6.948639,0,1,NorthBlock
6.948639,0,1,Rabbit
7.101532,0,1,Rabbit
7.101532,0,1,NorthBlock
9.255386,0,1,NorthBlock
9.255386,0,1,Rabbit
9.940521,0,1,Rabbit
10.10236,0,1,Rabbit
10.27927,0,1,Rabbit
10.78569,0,2,NorthBlock
11.93266,0,2,NorthBlock
13.53229,0,2,NorthBlock
13.93852,0,2,NorthBlock
14.12488,0,2,NorthBlock
15.19275,0,2,Rabbit
16.00577,0,2,Rabbit
20.07617,0,2,Rabbit
20.73914,0,2,Rabbit
22.24818,0,2,Rabbit
22.76357,0,2,Rabbit
23.27017,0,2,Rabbit
0.1110229,0,2,Rabbit
0.2681122,0,2,Rabbit
0.6520233,0,2,Rabbit
1.092194,0,2,Rabbit
1.381119,0,2,Rabbit
1.857803,0,2,Rabbit
1.857803,0,2,NorthBlock
2.160156,0,2,Rabbit
2.635483,0,2,NorthBlock
2.870422,0,2,NorthBlock
2.870422,0,2,Rabbit
3.086105,0,2,Rabbit
3.086105,0,2,NorthBlock
3.284058,0,2,Rabbit
3.284058,0,2,NorthBlock
3.499405,0,2,NorthBlock
3.514038,0,2,Rabbit
3.663849,0,2,NorthBlock
3.693481,0,2,Rabbit
4.26712,0,2,Rabbit
4.26712,0,2,NorthBlock
4.871292,0,2,NorthBlock
6.845123,0,2,SouthBlock
7.579193,0,2,SouthBlock
8.134598,0,2,NorthBlock
8.163788,0,2,Rabbit
8.440369,0,2,Rabbit
8.456116,0,2,NorthBlock
9.981583,0,2,NorthBlock
9.981583,0,2,Rabbit
10.37332,0,3,Rabbit
10.47899,0,3,NorthBlock
11.24887,0,3,NorthBlock
11.49698,0,3,NorthBlock
11.67023,0,3,NorthBlock
11.93083,0,3,NorthBlock
12.58186,0,3,NorthBlock
12.83466,0,3,NorthBlock
13.23665,0,3,Rabbit
13.57211,0,3,Rabbit
17.70847,0,3,Rabbit
18.08371,0,3,Rabbit
18.75783,0,3,Rabbit
19.02585,0,3,Rabbit
19.20946,0,3,Rabbit
19.42778,0,3,Rabbit
19.6852,0,3,Rabbit
21.59117,0,3,Rabbit
22.42203,0,3,Rabbit
22.95934,0,3,Rabbit
23.15425,0,3,Rabbit
23.62241,0,3,Rabbit
23.83316,0,3,Rabbit
0.2683716,0,3,Rabbit
1.928467,0,3,Rabbit
