4/13/2022 9:08:55 AM
Time,Path,Invisibility,x_pos,y_pos,z_pos,target_x,target_y,target_z,target_visible
0.02345276,0,1,-3.022741,1.647151,-1.163407,-4.039,0,3.6,True
0.1332092,0,1,-3.024581,1.645392,-1.162981,-3.960777,0,3.592178,True
0.2514801,0,1,-3.027063,1.643405,-1.162415,-3.854083,0,3.581508,True
0.366333,0,1,-3.028857,1.642637,-1.159378,-3.767175,0,3.572817,True
0.4759369,0,1,-3.02187,1.638452,-1.149328,-3.679283,0,3.564028,True
0.5763245,0,1,-3.00076,1.631802,-1.135827,-3.598485,0,3.555948,True
0.6870728,0,1,-2.960613,1.624701,-1.120157,-3.510581,0,3.547158,True
0.7986603,0,1,-2.907733,1.616276,-1.101482,-3.419337,0,3.538033,True
0.9120483,0,1,-2.850645,1.606731,-1.078507,-3.332721,0,3.529372,True
1.019867,0,1,-2.794559,1.605386,-1.051444,-3.242995,0,3.520399,True
1.130005,0,1,-2.74646,1.611062,-1.012153,-3.157362,0,3.511836,True
1.233368,0,1,-2.708753,1.609715,-0.9684159,-3.076698,0,3.50377,True
1.355179,0,1,-2.668493,1.600442,-0.9060274,-2.979137,0,3.494014,True
1.476028,0,1,-2.633327,1.597944,-0.8314258,-2.8808,0,3.48418,True
1.584641,0,1,-2.605036,1.604249,-0.7623221,-2.791924,0,3.475292,True
1.68692,0,1,-2.572264,1.61084,-0.6890007,-2.713737,0,3.467474,True
1.793564,0,1,-2.540363,1.612248,-0.6288468,-2.642911,0,3.460391,True
1.907104,0,1,-2.491915,1.611578,-0.5503451,-2.534978,0,3.449598,True
2.020142,0,1,-2.439913,1.603319,-0.4803854,-2.448483,0,3.440948,True
2.130768,0,1,-2.380846,1.598454,-0.4117743,-2.359462,0,3.432046,True
2.242111,0,1,-2.318494,1.601726,-0.3433415,-2.270586,0,3.423158,True
2.351364,0,1,-2.261224,1.614365,-0.2766372,-2.184055,0,3.414505,True
2.462646,0,1,-2.208515,1.62015,-0.2090265,-2.095228,0,3.405623,True
2.56366,0,1,-2.160327,1.616235,-0.1456582,-2.013324,0,3.397432,True
2.664978,0,1,-2.114286,1.605771,-0.0825683,-1.92757,0,3.388857,True
2.77681,0,1,-2.066716,1.598963,-0.01086964,-1.849165,0,3.381016,True
2.877777,0,1,-2.026681,1.602003,0.05456196,-1.768659,0,3.372966,True
2.986694,0,1,-1.977404,1.604621,0.1274541,-1.680427,0,3.364143,True
3.107681,0,1,-1.91762,1.604777,0.1965517,-1.582065,0,3.354306,True
3.217941,0,1,-1.857518,1.60349,0.2592729,-1.491622,0,3.345262,True
3.320007,0,1,-1.801113,1.596399,0.3086084,-1.412889,0,3.337389,True
3.429764,0,1,-1.728988,1.594528,0.361575,-1.326564,0,3.328756,True
3.541473,0,1,-1.652694,1.596076,0.409408,-1.235065,0,3.319606,True
3.652512,0,1,-1.581389,1.603269,0.4576081,-1.150793,0,3.311179,True
3.764725,0,1,-1.517587,1.609228,0.5131036,-1.061225,0,3.302222,True
3.874863,0,1,-1.455851,1.603941,0.572733,-0.9725073,0,3.293351,True
3.999939,0,1,-1.385397,1.594724,0.6405014,-0.8764289,0,3.283743,True
